day	time	size	price	sign
2	42447.555	50	505.8	-1
2	42451.375	600	505.8	-1
2	42451.781	300	505.8	-1
2	42451.781	70	505.8	-1
2	42451.781	18	505.8	-1
2	42451.781	70	505.8	-1
2	42451.785	30	505.8	-1
2	42451.785	30	505.8	-1
2	42452.934	156	505.8	-1
2	42453.016	100	505.8	-1
2	42455.008	500	505.8	-1
2	42455.012	1	505.8	-1
2	42458.141	38	505.75	-1
2	42460.156	10	505.97	1
2	42465.547	12	505.75	-1
2	42465.547	35	505.75	-1
2	42469.91	100	505.83	1
2	42474.141	100	505.72	-1
2	42474.512	100	505.68	-1
2	42496.203	10	506.05	1
2	42496.203	90	506.03	1
2	42496.238	100	506.06	1
2	42496.352	100	506.07	1
2	42496.359	12	506.19	1
2	42496.359	88	506.19	1
2	42496.359	12	506.19	1
2	42496.359	88	506.19	1
2	42496.359	12	506.19	1
2	42496.359	10	506.21	1
2	42496.359	12	506.2	1
2	42496.359	66	506.21	1
2	42519.074	100	506	-1
2	42520.398	100	506	-1
2	42520.43	100	506	-1
2	42520.453	100	505.91	-1
2	42524.996	34	505.86	-1
2	42524.996	66	505.87	-1
2	42524.996	66	505.86	-1
2	42574.012	100	505.99	1
2	42596.758	100	506	1
2	42600.586	100	506	1
2	42607.832	100	506.06	-1
2	42607.832	100	506.06	-1
2	42607.832	100	506.13	-1
2	42613.691	100	506.02	-1
2	42629.402	100	506.04	1
2	42712.707	100	506.27	1
2	42712.707	100	506.27	1
2	42714.535	100	506.29	1
2	42798.637	100	506.29	1
2	42799.289	21	506.29	1
2	42799.535	79	506.29	1
2	42805.449	100	506.2	-1
2	42887.691	1	506.25	-1
2	42887.695	100	506.29	1
2	42887.695	100	506.29	1
2	42907.465	100	506.41	1
2	42907.469	100	506.4	1
2	42923.953	100	506.71	1
2	42923.957	100	506.73	1
2	42923.957	100	506.73	1
2	42941.969	100	506.82	1
2	42941.969	10	506.97	1
2	42941.969	90	506.9	1
2	42941.969	100	507.02	1
2	42941.969	10	507.05	1
2	42941.969	90	507	1
2	42942.219	10	507.05	1
2	42942.219	90	507.05	1
2	42942.27	90	507.05	1
2	42959.164	2	507.11	1
2	42964.352	100	507.12	1
2	42964.531	100	507.41	1
2	42964.539	100	507.42	1
2	42964.539	100	507.42	1
2	42964.543	100	507.42	1
2	42964.551	100	507.42	1
2	42964.551	100	507.42	1
2	42964.73	10	507.52	1
2	42964.801	10	507.58	1
2	42964.84	10	507.59	1
2	42964.84	10	507.59	1
2	42964.859	10	507.6	1
2	42964.875	6	507.61	1
2	42964.988	100	507.63	1
2	42964.988	10	507.67	1
2	42965.031	10	507.68	1
2	42965.07	11	507.69	1
2	42965.152	10	507.74	1
2	42965.172	10	507.75	1
2	42965.188	11	507.77	1
2	42965.379	6	507.81	1
2	42965.379	69	507.81	1
2	42965.379	10	507.82	1
2	42965.379	11	507.85	1
2	42965.379	11	507.86	1
2	42974.605	100	507.88	1
2	42974.605	18	507.89	1
2	42974.605	12	507.89	1
2	42974.605	6	507.89	1
2	42974.605	82	507.89	1
2	42974.605	100	507.88	-1
2	42974.605	100	507.88	-1
2	42974.605	13	507.66	-1
2	43021.012	72	507.8	-1
2	43039.539	55	507.99	1
2	43039.543	45	507.99	1
2	43039.543	100	507.99	1
2	43039.543	100	507.99	1
2	43039.543	100	507.99	1
2	43043.488	200	508	1
2	43043.531	200	508.1	-1
2	43044.566	200	508.1	-1
2	43044.57	100	508.1	-1
2	43044.57	100	508.1	-1
2	43044.574	100	508.1	-1
2	43044.582	100	508.1	-1
2	43044.875	100	508	1
2	43047.27	100	508	1
2	43047.613	100	508	1
2	43047.625	26	508	1
2	43052.668	74	508	1
2	43067.441	50	508.17	1
2	43067.441	50	508.17	1
2	43067.441	70	508.29	1
2	43067.441	30	508.29	1
2	43067.441	10	508.33	1
2	43067.441	8	508.32	1
2	43067.441	9	508.3	1
2	43067.441	9	508.31	1
2	43067.445	34	508.17	1
2	43067.445	50	508.17	1
2	43067.445	16	508.17	1
2	43100.406	100	508.14	-1
2	43121.113	100	508.13	-1
2	43122.43	100	508.2	1
2	43122.43	200	508.3	-1
2	43122.43	200	508.3	-1
2	43125.07	100	508.26	-1
2	43126.078	75	508.2	1
2	43136.371	100	508.3	1
2	43140.953	100	508.39	-1
2	43164.277	100	508.5	-1
2	43165.395	100	508.48	-1
2	43165.395	75	508.48	-1
2	43165.398	100	508.48	-1
2	43165.398	25	508.48	-1
2	43165.398	14	508.32	-1
2	43165.402	61	508.26	-1
2	43165.402	100	508.48	-1
2	43176.855	100	508.49	1
2	43181.676	100	508.5	1
2	43183.254	39	508.47	-1
2	43183.469	100	508.4	-1
2	43183.949	14	508.31	-1
2	43183.949	15	508.3	-1
2	43183.949	100	508.44	1
2	43184	71	508.25	-1
2	43190.684	100	508.33	1
2	43197.324	100	508.48	1
2	43200.832	100	508.49	1
2	43223.105	21	508.39	-1
2	43223.105	79	508.25	-1
2	43230.266	100	508.49	1
2	43230.414	100	508.36	1
2	43230.418	100	508.35	1
2	43254.602	100	508.22	-1
2	43254.602	100	508.22	-1
2	43254.602	100	508.22	-1
2	43254.605	100	508.22	-1
2	43254.605	100	508.44	1
2	43258.879	100	508.18	-1
2	43275.359	100	508.34	1
2	43276.109	100	508.19	-1
2	43276.109	75	508.12	-1
2	43296.906	100	508.32	1
2	43309.512	25	508.23	-1
2	43309.512	100	508.38	1
2	43350.223	100	508.39	1
2	43350.246	200	508.4	1
2	43350.25	100	508.4	1
2	43350.25	100	508.4	1
2	43350.25	67	508.4	1
2	43350.285	33	508.4	1
2	43350.285	67	508.4	1
2	43350.285	100	508.4	1
2	43350.285	33	508.4	1
2	43354.211	10	508.94	1
2	43355.172	10	508.95	1
2	43355.172	10	508.96	1
2	43355.172	4	508.96	1
2	43383.852	100	508.93	-1
2	43383.852	100	508.93	-1
2	43386.102	100	508.88	1
2	43394.48	40	508.6	-1
2	43394.48	10	508.62	-1
2	43400.5	50	508.85	1
2	43426.875	100	508.86	1
2	43426.875	100	508.86	1
2	43462.695	1	508.52	-1
2	43462.695	99	508.51	-1
2	43462.695	1	508.51	-1
2	43462.695	5	508.48	-1
2	43462.699	100	508.84	1
2	43462.699	75	508.48	-1
2	43462.699	100	508.47	-1
2	43462.699	20	508.48	-1
2	43462.699	80	508.42	-1
2	43475.406	100	508.83	1
2	43489.594	100	508.84	1
2	43502.25	10	508.9	-1
2	43509.152	100	508.9	1
2	43522.336	100	508.87	1
2	43538.027	30	508.82	-1
2	43538.027	100	508.91	1
2	43540.668	100	508.72	-1
2	43551.301	19	508.98	-1
2	43572.629	100	508.78	1
2	43572.633	59	508.78	1
2	43593.738	100	508.77	1
2	43614.281	100	508.6	-1
2	43614.281	100	508.6	-1
2	43614.289	100	508.6	-1
2	43614.289	8	508.6	-1
2	43633.594	100	508.58	1
2	43633.594	100	508.59	1
2	43633.609	100	508.76	1
2	43633.609	8	508.76	1
2	43762.719	19	508.62	-1
2	43762.719	23	508.62	-1
2	43762.719	4	508.62	-1
2	43762.719	6	508.62	-1
2	43762.719	46	508.62	-1
2	43762.719	14	508.52	-1
2	43762.719	48	508.62	-1
2	43802.594	20	508.66	-1
2	43802.594	200	508.6	1
2	43802.598	180	508.6	1
2	43819.27	100	508.61	1
2	43823.828	100	508.72	-1
2	43823.828	100	508.72	-1
2	43827.66	100	508.99	1
2	43879.633	100	508.87	-1
2	43879.637	36	508.87	-1
2	43936.621	100	508.85	1
2	43936.621	100	508.85	1
2	43962.02	22	508.6	1
2	44016.492	10	508.88	1
2	44029.242	100	508.89	1
2	44073.688	100	508.89	1
2	44097.441	100	508.89	1
2	44097.449	100	508.89	1
2	44097.449	100	508.89	1
2	44097.707	100	508.88	1
2	44142.715	100	508.69	-1
2	44142.734	1	508.64	-1
2	44142.746	19	508.57	-1
2	44142.746	25	508.57	-1
2	44142.75	16	508.54	-1
2	44142.75	25	508.56	-1
2	44146.895	100	508.68	1
2	44146.949	100	508.68	1
2	44146.961	100	508.68	1
2	44169.594	100	508.73	1
2	44169.594	100	508.74	1
2	44169.602	7	508.89	1
2	44169.605	7	508.9	1
2	44169.605	7	508.91	1
2	44250.473	100	508.98	1
2	44250.473	100	508.98	1
2	44250.473	100	508.98	1
2	44250.473	200	509	1
2	44250.484	100	509	1
2	44250.484	100	509	1
2	44250.484	100	509	1
2	44251.117	2500	509	1
2	44251.121	100	509.08	-1
2	44251.121	100	509	1
2	44251.125	100	509.1	1
2	44251.125	69	509.1	1
2	44251.172	8	509.11	1
2	44251.172	92	509.16	1
2	44251.172	8	509.16	1
2	44252.133	100	509.09	-1
2	44252.746	100	509.09	-1
2	44272.023	100	509.18	-1
2	44272.027	100	509.18	-1
2	44275.637	100	509.29	1
2	44290.855	100	509.31	1
2	44341.176	30	509.45	1
2	44355.594	100	509.61	1
2	44365.758	100	509.53	-1
2	44373.703	100	509.53	-1
2	44374.484	21	509.52	-1
2	44374.484	79	509.52	-1
2	44374.484	100	509.5	-1
2	44387.672	100	509.35	-1
2	44387.844	37	509.3	1
2	44387.844	100	509.3	1
2	44387.844	37	509.31	1
2	44387.844	63	509.3	1
2	44387.844	21	509.31	1
2	44387.848	42	509.31	1
2	44433.199	100	509.1	1
2	44433.199	100	509.1	1
2	44438.145	100	508.88	1
2	44438.184	100	508.88	1
2	44456.086	100	508.88	1
2	44456.086	100	508.88	1
2	44456.086	25	508.89	1
2	44456.125	46	508.9	-1
2	44456.195	7	509.06	1
2	44456.195	7	509.07	1
2	44458.242	100	509.09	1
2	44458.242	200	509.08	1
2	44458.664	100	509.12	1
2	44459.344	100	509.12	-1
2	44481.082	17	508.9	-1
2	44533.027	200	508.86	1
2	44541.875	100	508.86	1
2	44601.621	100	508.62	-1
2	44601.637	19	508.57	-1
2	44601.637	21	508.54	-1
2	44601.645	21	508.52	-1
2	44601.645	21	508.51	-1
2	44604.355	19	508.4	-1
2	44661.691	100	508.41	1
2	44692.758	100	508.34	1
2	44699.164	100	508.35	1
2	44699.164	100	508.35	1
2	44709.852	200	508.35	-1
